"","player_id","full_name","last_name","first_name","pos","shoots","height","weight","birthdate","latest_team_id","team_name","division","jersey_number","rookie"
"1",8445,"Artem Grushnikov","Grushnikov","Artem","D","L",6.02,180,"2003-03-20",1,"Hamilton Bulldogs","East Division",2,0
"2",8433,"Lucas Moore","Moore","Lucas","D","R",5.1,175,"2005-06-07",1,"Hamilton Bulldogs","East Division",4,1
"3",7916,"Logan Morrison","Morrison","Logan","C","R",6,180,"2002-07-09",1,"Hamilton Bulldogs","East Division",9,0
"4",8293,"Gavin White","White","Gavin","D","R",6,180,"2002-11-12",1,"Hamilton Bulldogs","East Division",10,0
"5",7976,"Avery Hayes","Hayes","Avery","RW","R",5.1,175,"2002-10-10",1,"Hamilton Bulldogs","East Division",13,0
"6",8155,"George Diaco","Diaco","George","LW","L",5.07,160,"2002-02-14",1,"Hamilton Bulldogs","East Division",14,0
"7",7683,"Navrin Mutter","Mutter","Navrin","LW","L",6.04,198,"2001-03-15",1,"Hamilton Bulldogs","East Division",15,0
"8",8431,"Alex Pharand","Pharand","Alex","C","R",6.02,185,"2005-05-01",1,"Hamilton Bulldogs","East Division",17,1
"9",8340,"Jan Mysak","Mysak","Jan","C","L",6,180,"2002-06-24",1,"Hamilton Bulldogs","East Division",19,0
"10",7762,"Colton Kammerer","Kammerer","Colton","D","R",6.01,185,"2001-10-21",1,"Hamilton Bulldogs","East Division",21,0
"11",8318,"Ryan Humphrey","Humphrey","Ryan","LW","L",6,175,"2003-04-08",1,"Hamilton Bulldogs","East Division",22,0
"12",8153,"Ryan Winterton","Winterton","Ryan","C","R",6.02,190,"2003-09-04",1,"Hamilton Bulldogs","East Division",27,0
"13",7860,"Zachary Roy","Roy","Zachary","G","R",5.11,175,"2001-02-09",1,"Hamilton Bulldogs","East Division",31,0
"14",8089,"Marco Costantini","Costantini","Marco","G","R",6.01,185,"2002-08-04",1,"Hamilton Bulldogs","East Division",33,0
"15",8154,"Lawson Sherk","Sherk","Lawson","C","L",6.02,201,"2003-05-03",1,"Hamilton Bulldogs","East Division",39,0
"16",7773,"Nathan Staios","Staios","Nathan","D","L",5.1,178,"2001-05-17",1,"Hamilton Bulldogs","East Division",44,0
"17",8296,"Matteo Drobac","Drobac","Matteo","G","R",6.01,180,"2003-08-07",1,"Hamilton Bulldogs","East Division",45,0
"18",8432,"Jorian Donovan","Donovan","Jorian","D","L",6.02,180,"2004-04-05",1,"Hamilton Bulldogs","East Division",75,1
"19",8440,"Jonathan Melee","Melee","Jonathan","C","L",6.01,183,"2004-01-15",1,"Hamilton Bulldogs","East Division",80,1
"20",7682,"Liam Van Loon","Van Loon","Liam","LW","L",6,185,"2001-08-17",1,"Hamilton Bulldogs","East Division",81,0
"21",8295,"Chandler Romeo","Romeo","Chandler","D","L",6.05,205,"2003-07-16",1,"Hamilton Bulldogs","East Division",83,0
"22",7692,"Tag Bertuzzi","Bertuzzi","Tag","C","L",6.01,199,"2001-02-18",1,"Hamilton Bulldogs","East Division",84,0
"23",8162,"Mark Duarte","Duarte","Mark","RW","R",6.02,185,"2002-09-27",1,"Hamilton Bulldogs","East Division",88,0
"24",8430,"Cole Brown","Brown","Cole","RW","L",6.03,170,"2005-04-27",1,"Hamilton Bulldogs","East Division",92,1
